1;2801.00;10.10;1559.00;small
1;2770.00;10.43;1551.00;small
2;2773.00;11.38;1600.00;small
2;2744.00;11.30;1564.00;small
3;2745.00;11.82;1645.00;small
3;2730.00;13.20;1680.00;small
4;2673.00;10.05;1574.00;small
4;2694.00;9.98;1602.00;small
5;2882.00;9.82;1537.00;small
5;2900.00;9.70;1570.00;small
6;2945.00;9.78;1573.00;small
6;2967.00;9.75;1632.00;small
7;2921.00;11.05;1515.00;big
7;2975.00;11.25;1493.00;big
8;3002.00;9.85;1563.00;big
8;3068.00;10.50;1557.00;small
8;3122.00;10.00;1590.00;small
9;3137.00;9.50;1742.00;small
9;3099.00;10.05;1685.00;small
10;3047.00;10.10;1714.00;small
10;3026.00;10.38;1661.00;small
11;2971.00;12.68;1794.00;big
11;2932.00;14.05;1735.00;big
12;3228.00;10.73;1924.00;small
12;3330.00;11.07;1927.00;small
13;3259.00;9.80;1794.00;big
13;3184.00;9.50;1779.00;big
14;3785.00;10.55;1672.00;big
14;3921.00;9.88;1669.00;big
14;3832.00;10.30;1761.00;big
16;2798.00;9.50;1777.00;big
16;2821.00;9.50;1650.00;big
17;3406.00;16.68;793.00;big
18;2767.00;9.50;1507.00;small
18;2840.00;9.50;1556.00;small
19;2841.00;9.90;1495.00;big
19;2883.00;10.40;1476.00;big
20;2826.00;10.07;1407.00;big
20;2887.00;9.80;1414.00;big
21;2945.00;11.62;1440.00;big
21;3023.00;14.10;1465.00;big
22;3025.00;12.32;1511.00;small
22;3073.00;10.57;1509.00;small
22;3117.00;10.12;1489.00;small
23;3045.00;9.93;1329.00;small
23;2991.00;11.12;1388.00;small
24;3127.00;11.40;1375.00;small
24;3067.00;11.00;1417.00;small
25;3224.00;9.82;1347.00;small
25;3152.00;10.48;1312.00;small
26;3220.00;10.80;1463.00;small
26;3237.00;9.80;1417.00;small
26;3187.00;13.38;1379.00;small
27;3171.00;14.35;1454.00;small
27;3096.00;9.88;1457.00;small
28;3520.00;9.80;1169.00;small
28;3488.00;10.12;1249.00;small
28;3471.00;10.43;1200.00;small
29;3121.00;9.50;1237.00;big
29;3029.00;9.50;1248.00;big
30;3359.00;9.50;1389.00;big
30;3260.00;9.50;1382.00;big
31;3992.00;11.12;879.00;big
31;3995.00;11.73;950.00;big
32;1245.00;9.50;119.00;big
32;1155.00;9.50;410.00;big
33;376.00;10.03;1930.00;small
33;633.00;9.50;1954.00;small
34;1458.00;9.50;1066.00;big
34;1544.00;9.80;1006.00;big
35;1843.00;10.45;455.00;big
35;1942.00;10.07;346.00;big
35;1775.00;10.68;283.00;big
35;1727.00;11.93;128.00;big
36;2024.00;11.32;1989.00;big
36;2138.00;14.15;1954.00;big
37;3203.00;9.80;1694.00;big
37;3182.00;9.80;1620.00;big
38;3119.00;10.05;1547.00;big
38;3143.00;9.85;1556.00;big
38;3133.00;11.73;1519.00;big
39;3189.00;10.62;1520.00;big
39;3247.00;10.10;1530.00;big
39;3299.00;10.05;1483.00;big
40;3653.00;10.43;1639.00;big
40;3530.00;9.88;1704.00;big
40;3647.00;10.23;1722.00;big
40;3560.00;10.88;1623.00;big
41;2767.00;12.93;1366.00;big
